id_venta;fecha;cliente;producto;categoria;ciudad;cantidad;precio_unitario;valor;canal
2001;26/02/2026;1136;Laptop;Tecnología;Cali;3;3200000;9600000;Tienda
2003;12/03/2026;1065;Mochila;Accesorios;Barranquilla;3;160000;480000;Tienda
2004;17/03/2026;1229;Mochila;Accesorios;Pereira;1;160000;160000;Distribuidor
2006;14/06/2026;1136;Cuaderno;Papelería;Medellin;3;18000;54000;Tienda
2008;8/02/2026;1007;Cuaderno;Papelería;Bogota;2;18000;36000;Web
2009;28/08/2026;1054;Escritorio;Oficina;Medellin;3;900000;2700000;Distribuidor
2010;17/04/2026;1160;Mochila;Accesorios;Pereira;4;160000;640000;App
2012;6/07/2026;1205;Escritorio;Oficina;Barranquilla;2;900000;1800000;Web
2013;5/02/2026;1158;Audífonos;Tecnología;Barranquilla;5;220000;1100000;Web
2015;4/05/2026;1137;Laptop;Tecnología;Barranquilla;1;3200000;3200000;Web
2018;23/07/2026;1028;Bolígrafo;Papelería;Barranquilla;4;5000;20000;App
2019;20/05/2026;1196;Silla;Oficina;Bogota;4;650000;2600000;Tienda
2020;10/04/2026;1091;Audífonos;Tecnología;Medellin;5;220000;1100000;Distribuidor
2021;22/05/2026;1266;Bolígrafo;Papelería;Cartagena;4;5000;20000;Distribuidor
2022;25/02/2026;1057;Laptop;Tecnología;Bucaramanga;2;3200000;6400000;Web
2023;28/02/2026;1123;Laptop;Tecnología;Bogota;1;3200000;3200000;App
2025;21/07/2026;1254;Monitor;Tecnología;Medellin;2;850000;1700000;App
2026;29/03/2026;1148;Mouse;Tecnología;Cali;1;90000;90000;App
2027;18/02/2026;1157;Teclado;Tecnología;Cartagena;2;180000;360000;Distribuidor
2028;29/03/2026;1086;Silla;Oficina;Bucaramanga;2;650000;1300000;Tienda
2029;20/06/2026;1243;Cuaderno;Papelería;Medellin;4;18000;72000;Tienda
2030;21/06/2026;1040;Laptop;Tecnología;Medellin;2;3200000;6400000;App
2032;1/01/2026;1242;Cuaderno;Papelería;Pereira;1;18000;18000;Web
2033;24/01/2026;1117;Laptop;Tecnología;Cartagena;5;3200000;16000000;App
2035;5/06/2026;1180;Silla;Oficina;Barranquilla;5;650000;3250000;Distribuidor
2036;12/05/2026;1235;Cuaderno;Papelería;Cali;1;18000;18000;App
2037;30/06/2026;1266;Audífonos;Tecnología;Bucaramanga;5;220000;1100000;App
2039;23/04/2026;1016;Teclado;Tecnología;Cali;2;180000;360000;Distribuidor
2041;13/07/2026;1270;Monitor;Tecnología;Cali;2;850000;1700000;Distribuidor
2042;16/05/2026;1214;Silla;Oficina;Cali;3;650000;1950000;Distribuidor
2043;8/06/2026;1063;Mouse;Tecnología;Bogota;4;90000;360000;App
2044;21/08/2026;1148;Mochila;Accesorios;Pereira;1;160000;160000;App
2045;5/01/2026;1239;Cuaderno;Papelería;Bucaramanga;2;18000;36000;Web
2047;28/05/2026;1008;Monitor;Tecnología;Pereira;4;850000;3400000;App
2048;21/01/2026;1028;Mouse;Tecnología;Cali;4;90000;360000;Tienda
2049;6/06/2026;1001;Laptop;Tecnología;Barranquilla;1;3200000;3200000;App
2050;9/05/2026;1258;Teclado;Tecnología;Cali;5;180000;900000;App
2051;21/03/2026;1074;Monitor;Tecnología;Bucaramanga;2;850000;1700000;App
2052;10/08/2026;1113;Mochila;Accesorios;Bogota;1;160000;160000;App
2053;31/08/2026;1217;Silla;Oficina;Medellin;4;650000;2600000;Distribuidor
2054;20/02/2026;1089;Audífonos;Tecnología;Cali;5;220000;1100000;App
2055;12/08/2026;1103;Silla;Oficina;Pereira;3;650000;1950000;Web
2056;11/03/2026;1155;Escritorio;Oficina;Cartagena;3;900000;2700000;Web
2057;13/02/2026;1280;Audífonos;Tecnología;Cartagena;2;220000;440000;Distribuidor
2058;12/07/2026;1270;Escritorio;Oficina;Bogota;4;900000;3600000;Web
2060;7/08/2026;1237;Cuaderno;Papelería;Barranquilla;1;18000;18000;Distribuidor
2063;11/07/2026;1028;Teclado;Tecnología;Cartagena;4;180000;720000;App
2064;6/03/2026;1237;Escritorio;Oficina;Bucaramanga;5;900000;4500000;Tienda
2065;24/08/2026;1139;Laptop;Tecnología;Bogota;1;3200000;3200000;Tienda
2066;20/06/2026;1290;Mochila;Accesorios;Bogota;4;160000;640000;App
2069;15/03/2026;1070;Bolígrafo;Papelería;Bucaramanga;2;5000;10000;Distribuidor
2073;23/02/2026;1201;Cuaderno;Papelería;Bogota;1;18000;18000;Distribuidor
2074;4/03/2026;1095;Audífonos;Tecnología;Barranquilla;2;220000;440000;Distribuidor
2076;16/03/2026;1124;Laptop;Tecnología;Medellin;2;3200000;6400000;Web
2078;29/05/2026;1189;Monitor;Tecnología;Cartagena;3;850000;2550000;Distribuidor
2079;20/07/2026;1238;Escritorio;Oficina;Bucaramanga;4;900000;3600000;Tienda
2080;6/08/2026;1235;Teclado;Tecnología;Bogota;1;180000;180000;App
2082;16/08/2026;1240;Laptop;Tecnología;Cali;4;3200000;12800000;Web
2083;22/05/2026;1257;Laptop;Tecnología;Medellin;5;3200000;16000000;App
2084;18/04/2026;1263;Silla;Oficina;Bucaramanga;1;650000;650000;Distribuidor
2085;31/03/2026;1236;Teclado;Tecnología;Cali;2;180000;360000;App
2086;23/05/2026;1248;Audífonos;Tecnología;Barranquilla;4;220000;880000;Tienda
2087;30/08/2026;1295;Mochila;Accesorios;Bucaramanga;5;160000;800000;Web
2090;16/01/2026;1055;Teclado;Tecnología;Medellin;4;180000;720000;Tienda
2092;31/03/2026;1033;Escritorio;Oficina;Pereira;1;900000;900000;Distribuidor
2094;11/07/2026;1090;Mochila;Accesorios;Bucaramanga;3;160000;480000;Tienda
2095;25/02/2026;1294;Cuaderno;Papelería;Barranquilla;5;18000;90000;Web
2096;13/04/2026;1225;Mouse;Tecnología;Cali;3;90000;270000;Distribuidor
2097;26/04/2026;1223;Mouse;Tecnología;Bucaramanga;5;90000;450000;Web
2098;9/04/2026;1050;Monitor;Tecnología;Cartagena;2;850000;1700000;Tienda
2099;18/01/2026;1209;Teclado;Tecnología;Bogota;5;180000;900000;App
2101;8/04/2026;1257;Mouse;Tecnología;Cartagena;3;90000;270000;Distribuidor
2102;2/07/2026;1035;Mochila;Accesorios;Cartagena;4;160000;640000;Web
2103;7/08/2026;1292;Escritorio;Oficina;Pereira;1;900000;900000;Tienda
2104;7/03/2026;1061;Bolígrafo;Papelería;Cali;4;5000;20000;Tienda
2105;29/04/2026;1012;Laptop;Tecnología;Cartagena;2;3200000;6400000;App
2106;29/05/2026;1035;Audífonos;Tecnología;Barranquilla;2;220000;440000;App
2107;28/05/2026;1266;Monitor;Tecnología;Cartagena;5;850000;4250000;Web
2110;4/08/2026;1031;Audífonos;Tecnología;Medellin;2;220000;440000;App
2111;15/04/2026;1032;Bolígrafo;Papelería;Pereira;2;5000;10000;App
2113;2/08/2026;1283;Mochila;Accesorios;Bucaramanga;4;160000;640000;Tienda
2114;8/03/2026;1054;Audífonos;Tecnología;Bucaramanga;1;220000;220000;Tienda
2116;5/06/2026;1014;Mouse;Tecnología;Bogota;2;90000;180000;Tienda
2120;2/03/2026;1100;Mochila;Accesorios;Cali;3;160000;480000;App
2121;12/08/2026;1048;Laptop;Tecnología;Medellin;5;3200000;16000000;Web
2122;6/01/2026;1008;Mouse;Tecnología;Barranquilla;2;90000;180000;Tienda
2123;30/01/2026;1225;Monitor;Tecnología;Bogota;2;850000;1700000;Web
2124;25/05/2026;1126;Laptop;Tecnología;Cali;3;3200000;9600000;App
2125;8/03/2026;1063;Mochila;Accesorios;Barranquilla;1;160000;160000;Distribuidor
2126;9/02/2026;1254;Audífonos;Tecnología;Cartagena;3;220000;660000;Web
2127;23/04/2026;1188;Cuaderno;Papelería;Bucaramanga;5;18000;90000;App
2128;30/05/2026;1164;Mouse;Tecnología;Cartagena;5;90000;450000;App
2131;29/04/2026;1063;Audífonos;Tecnología;Bucaramanga;3;220000;660000;Web
2132;14/03/2026;1233;Laptop;Tecnología;Medellin;1;3200000;3200000;Distribuidor
2133;11/01/2026;1139;Cuaderno;Papelería;Pereira;3;18000;54000;Tienda
2136;16/08/2026;1195;Laptop;Tecnología;Medellin;2;3200000;6400000;Web
2139;21/04/2026;1219;Laptop;Tecnología;Cali;1;3200000;3200000;Distribuidor
2140;25/02/2026;1274;Bolígrafo;Papelería;Barranquilla;4;5000;20000;App
2141;6/08/2026;1084;Mochila;Accesorios;Bucaramanga;4;160000;640000;App
2142;28/08/2026;1144;Mouse;Tecnología;Medellin;3;90000;270000;Tienda
2143;13/02/2026;1173;Mouse;Tecnología;Pereira;5;90000;450000;App
2144;22/07/2026;1186;Laptop;Tecnología;Cartagena;3;3200000;9600000;App
2147;25/08/2026;1239;Laptop;Tecnología;Barranquilla;1;3200000;3200000;Tienda
2148;3/07/2026;1210;Cuaderno;Papelería;Bucaramanga;1;18000;18000;Web
2150;3/04/2026;1133;Audífonos;Tecnología;Pereira;4;220000;880000;App
2151;7/03/2026;1076;Mouse;Tecnología;Bucaramanga;5;90000;450000;Web
2154;22/01/2026;1032;Bolígrafo;Papelería;Bucaramanga;3;5000;15000;Web
2155;12/05/2026;1277;Laptop;Tecnología;Bucaramanga;1;3200000;3200000;App
2157;16/08/2026;1122;Monitor;Tecnología;Cartagena;2;850000;1700000;Tienda
2158;16/06/2026;1037;Mochila;Accesorios;Cali;4;160000;640000;Distribuidor
2159;25/05/2026;1185;Teclado;Tecnología;Bogota;3;180000;540000;App
2160;28/07/2026;1016;Silla;Oficina;Barranquilla;2;650000;1300000;App
2161;8/07/2026;1014;Laptop;Tecnología;Cali;1;3200000;3200000;Web
2167;14/08/2026;1295;Silla;Oficina;Cali;3;650000;1950000;Web
2168;5/05/2026;1119;Silla;Oficina;Medellin;4;650000;2600000;App
2169;11/06/2026;1228;Monitor;Tecnología;Bucaramanga;4;850000;3400000;Web
2170;5/07/2026;1186;Monitor;Tecnología;Cali;4;850000;3400000;Tienda
2172;6/03/2026;1300;Bolígrafo;Papelería;Medellin;2;5000;10000;Distribuidor
2174;2/03/2026;1259;Monitor;Tecnología;Barranquilla;2;850000;1700000;Distribuidor
2176;8/01/2026;1135;Teclado;Tecnología;Bogota;5;180000;900000;Distribuidor
2178;9/08/2026;1038;Laptop;Tecnología;Bucaramanga;2;3200000;6400000;Web
2180;25/07/2026;1061;Bolígrafo;Papelería;Medellin;3;5000;15000;App
2181;22/06/2026;1024;Mochila;Accesorios;Cartagena;1;160000;160000;Tienda
2182;1/07/2026;1224;Cuaderno;Papelería;Barranquilla;3;18000;54000;Distribuidor
2184;19/03/2026;1233;Laptop;Tecnología;Cartagena;4;3200000;12800000;App
2185;14/06/2026;1050;Cuaderno;Papelería;Medellin;2;18000;36000;App
2186;2/06/2026;1289;Cuaderno;Papelería;Cali;5;18000;90000;Tienda
2188;16/07/2026;1074;Silla;Oficina;Pereira;1;650000;650000;Web
2189;18/04/2026;1295;Escritorio;Oficina;Cartagena;5;900000;4500000;App
2190;10/06/2026;1085;Monitor;Tecnología;Cali;1;850000;850000;App
2191;28/05/2026;1115;Audífonos;Tecnología;Barranquilla;2;220000;440000;Distribuidor
2192;28/05/2026;1119;Audífonos;Tecnología;Cartagena;3;220000;660000;Tienda
2193;14/03/2026;1015;Monitor;Tecnología;Medellin;5;850000;4250000;Web
2194;21/01/2026;1004;Bolígrafo;Papelería;Cartagena;4;5000;20000;Web
2195;14/01/2026;1293;Silla;Oficina;Medellin;4;650000;2600000;App
2196;16/08/2026;1152;Bolígrafo;Papelería;Medellin;1;5000;5000;Distribuidor
2198;14/02/2026;1182;Teclado;Tecnología;Cali;1;180000;180000;Tienda
2199;24/04/2026;1260;Monitor;Tecnología;Cali;3;850000;2550000;Web
2200;22/05/2026;1162;Cuaderno;Papelería;Bucaramanga;1;18000;18000;Tienda
2201;10/08/2026;1098;Monitor;Tecnología;Bucaramanga;5;850000;4250000;App
2204;29/08/2026;1255;Teclado;Tecnología;Barranquilla;3;180000;540000;Web
2205;9/03/2026;1265;Mouse;Tecnología;Bucaramanga;2;90000;180000;Tienda
2206;2/01/2026;1286;Escritorio;Oficina;Bogota;5;900000;4500000;Distribuidor
2207;17/04/2026;1135;Teclado;Tecnología;Bogota;5;180000;900000;Distribuidor
2208;14/07/2026;1248;Mochila;Accesorios;Medellin;5;160000;800000;App
2211;1/06/2026;1148;Monitor;Tecnología;Medellin;4;850000;3400000;Tienda
2212;17/08/2026;1060;Silla;Oficina;Medellin;2;650000;1300000;Distribuidor
2213;26/08/2026;1178;Silla;Oficina;Bucaramanga;4;650000;2600000;Tienda
2215;30/07/2026;1138;Mouse;Tecnología;Bogota;5;90000;450000;App
2216;21/04/2026;1134;Escritorio;Oficina;Bogota;3;900000;2700000;App
2217;30/07/2026;1218;Escritorio;Oficina;Pereira;4;900000;3600000;Distribuidor
2218;14/05/2026;1113;Laptop;Tecnología;Cali;3;3200000;9600000;Distribuidor
2222;16/02/2026;1026;Silla;Oficina;Cali;5;650000;3250000;Tienda
2223;18/04/2026;1081;Silla;Oficina;Cartagena;5;650000;3250000;Web
2224;22/07/2026;1192;Mouse;Tecnología;Cali;3;90000;270000;Web
2225;31/07/2026;1007;Mouse;Tecnología;Cartagena;1;90000;90000;Web
2226;11/01/2026;1249;Bolígrafo;Papelería;Bogota;1;5000;5000;Distribuidor
2227;22/03/2026;1118;Audífonos;Tecnología;Cali;2;220000;440000;Tienda
2228;18/01/2026;1194;Audífonos;Tecnología;Bucaramanga;4;220000;880000;Tienda
2229;9/03/2026;1040;Audífonos;Tecnología;Pereira;1;220000;220000;Tienda
2231;19/03/2026;1100;Monitor;Tecnología;Bucaramanga;5;850000;4250000;Distribuidor
2232;9/06/2026;1155;Silla;Oficina;Barranquilla;3;650000;1950000;Tienda
2233;23/08/2026;1296;Mouse;Tecnología;Bogota;4;90000;360000;App
2234;12/07/2026;1114;Audífonos;Tecnología;Barranquilla;4;220000;880000;Tienda
2236;6/05/2026;1202;Escritorio;Oficina;Bogota;3;900000;2700000;Distribuidor
2238;23/07/2026;1245;Mouse;Tecnología;Barranquilla;5;90000;450000;App
2239;25/02/2026;1043;Audífonos;Tecnología;Cali;1;220000;220000;Web
2241;14/03/2026;1268;Escritorio;Oficina;Cartagena;5;900000;4500000;Distribuidor
2242;30/04/2026;1130;Laptop;Tecnología;Pereira;4;3200000;12800000;Distribuidor
2243;9/06/2026;1019;Silla;Oficina;Pereira;3;650000;1950000;Web
2246;10/06/2026;1248;Mouse;Tecnología;Cali;5;90000;450000;Distribuidor
2248;7/03/2026;1086;Laptop;Tecnología;Medellin;2;3200000;6400000;Tienda
2249;13/08/2026;1254;Monitor;Tecnología;Bogota;2;850000;1700000;Distribuidor
2251;24/07/2026;1223;Laptop;Tecnología;Cali;3;3200000;9600000;Tienda
2255;18/04/2026;1085;Silla;Oficina;Bucaramanga;5;650000;3250000;Web
2256;31/08/2026;1092;Laptop;Tecnología;Cali;2;3200000;6400000;Distribuidor
2257;29/08/2026;1097;Monitor;Tecnología;Bogota;2;850000;1700000;App
2259;1/02/2026;1035;Mochila;Accesorios;Barranquilla;3;160000;480000;Web
2261;21/05/2026;1300;Audífonos;Tecnología;Pereira;3;220000;660000;Distribuidor
2262;8/07/2026;1131;Mochila;Accesorios;Pereira;5;160000;800000;Distribuidor
2264;24/05/2026;1065;Teclado;Tecnología;Cali;5;180000;900000;Tienda
2266;28/03/2026;1111;Laptop;Tecnología;Pereira;1;3200000;3200000;Web
2268;15/06/2026;1262;Monitor;Tecnología;Bogota;4;850000;3400000;Web
2269;6/08/2026;1257;Cuaderno;Papelería;Cali;1;18000;18000;App
2270;4/05/2026;1198;Bolígrafo;Papelería;Barranquilla;4;5000;20000;Distribuidor
2271;1/07/2026;1272;Audífonos;Tecnología;Pereira;1;220000;220000;App
2274;11/08/2026;1188;Silla;Oficina;Medellin;4;650000;2600000;Tienda
2277;11/04/2026;1003;Cuaderno;Papelería;Cali;5;18000;90000;Web
2278;8/06/2026;1130;Silla;Oficina;Bogota;5;650000;3250000;App
2279;7/01/2026;1141;Mochila;Accesorios;Cali;4;160000;640000;Tienda
2280;23/07/2026;1141;Laptop;Tecnología;Bucaramanga;1;3200000;3200000;App
2282;30/03/2026;1020;Cuaderno;Papelería;Bucaramanga;3;18000;54000;Tienda
2283;15/01/2026;1091;Mochila;Accesorios;Bucaramanga;2;160000;320000;Web
2284;12/02/2026;1029;Escritorio;Oficina;Pereira;4;900000;3600000;Tienda
2286;10/04/2026;1171;Mochila;Accesorios;Bucaramanga;3;160000;480000;Tienda
2290;16/08/2026;1259;Laptop;Tecnología;Cali;4;3200000;12800000;Web
2291;30/03/2026;1288;Laptop;Tecnología;Cali;3;3200000;9600000;App
2292;2/03/2026;1290;Silla;Oficina;Barranquilla;4;650000;2600000;Tienda
2293;15/02/2026;1045;Monitor;Tecnología;Bogota;2;850000;1700000;Web
2294;12/06/2026;1087;Mochila;Accesorios;Bucaramanga;1;160000;160000;Tienda
2295;22/04/2026;1127;Silla;Oficina;Barranquilla;3;650000;1950000;Tienda
2297;14/07/2026;1072;Audífonos;Tecnología;Medellin;5;220000;1100000;App
2298;11/06/2026;1140;Escritorio;Oficina;Medellin;2;900000;1800000;Web
2299;1/04/2026;1136;Audífonos;Tecnología;Cali;1;220000;220000;Distribuidor
2301;19/08/2026;1080;Teclado;Tecnología;Bogota;5;180000;900000;Distribuidor
2303;17/04/2026;1047;Silla;Oficina;Bucaramanga;5;650000;3250000;App
2304;18/04/2026;1134;Audífonos;Tecnología;Medellin;1;220000;220000;Distribuidor
2305;1/03/2026;1244;Bolígrafo;Papelería;Bucaramanga;2;5000;10000;Web
2306;28/08/2026;1289;Mochila;Accesorios;Cali;4;160000;640000;App
2308;5/01/2026;1172;Teclado;Tecnología;Barranquilla;3;180000;540000;Distribuidor
2310;28/08/2026;1225;Bolígrafo;Papelería;Medellin;5;5000;25000;Tienda
2311;22/08/2026;1205;Mochila;Accesorios;Cartagena;4;160000;640000;Distribuidor
2312;5/05/2026;1173;Audífonos;Tecnología;Bucaramanga;4;220000;880000;App
2314;25/02/2026;1296;Escritorio;Oficina;Barranquilla;4;900000;3600000;App
2317;28/01/2026;1178;Monitor;Tecnología;Cali;4;850000;3400000;Web
2318;22/07/2026;1076;Teclado;Tecnología;Barranquilla;2;180000;360000;Tienda
2319;30/03/2026;1095;Audífonos;Tecnología;Cali;2;220000;440000;Tienda
2320;15/04/2026;1079;Escritorio;Oficina;Bogota;5;900000;4500000;Web
2321;11/07/2026;1177;Laptop;Tecnología;Barranquilla;1;3200000;3200000;Web
