id_venta,fecha,cliente,producto,categoria,cantidad,precio_unitario,descuento,total,ciudad,metodo_pago,canal,vendedor,estado
1,2024-11-24,Cliente_007,Impresora,Computadores,4,445.14,0.05,1691.53,Cali,Efectivo,App,Vendedor_019,Pendiente
2,2024-03-15,Cliente_009,Monitor,Computadores,9,707.85,0.13,5542.47,Cartagena,Efectivo,Tienda,Vendedor_048,Cancelada
3,2024-03-17,Cliente_001,Celular,Perifericos,9,461.22,0.08,3818.9,Cali,Transferencia,Web,Vendedor_039,Completada
4,2024-04-08,Cliente_004,Monitor,Telefonia,1,1532.73,0.05,1456.09,Bucaramanga,Tarjeta_Credito,Call_Center,Vendedor_021,Cancelada
5,2024-02-16,Cliente_002,Webcam,Telefonia,5,565.66,0.13,2460.62,Cartagena,Tarjeta_Credito,Call_Center,Vendedor_021,Cancelada
6,2024-02-12,Cliente_003,Celular,Almacenamiento,1,1537.27,0.18,1260.56,Cali,Transferencia,Call_Center,Vendedor_048,Completada
7,2024-09-03,Cliente_002,Disco_SSD,Almacenamiento,4,862.06,0.13,2999.97,Bogota,Tarjeta_Credito,App,Vendedor_019,Pendiente
8,2024-02-20,Cliente_002,Impresora,Perifericos,4,1236.76,0.09,4501.81,Barranquilla,Transferencia,Tienda,Vendedor_003,Cancelada
9,2024-09-25,Cliente_007,Monitor,Impresion,6,239.03,0.17,1190.37,Manizales,Efectivo,Tienda,Vendedor_007,Pendiente
10,2024-02-05,Cliente_005,Laptop,Telefonia,6,1480.76,0.09,8084.95,Bogota,Transferencia,App,Vendedor_006,Cancelada
11,2024-02-05,Cliente_010,Audifonos,Telefonia,5,1223.72,0.01,6057.41,Bogota,Tarjeta_Debito,Tienda,Vendedor_038,Cancelada
12,2024-08-24,Cliente_006,Audifonos,Perifericos,3,1058.46,0.08,2921.35,Cartagena,Tarjeta_Credito,App,Vendedor_015,Pendiente
13,2024-11-17,Cliente_007,Celular,Perifericos,3,24.95,0.18,61.38,Cali,Tarjeta_Credito,App,Vendedor_001,Completada
14,2024-11-21,Cliente_009,Webcam,Telefonia,4,972.04,0.19,3149.41,Bucaramanga,Efectivo,Call_Center,Vendedor_011,Completada
15,2024-04-12,Cliente_003,Tablet,Perifericos,4,1628.82,0.08,5994.06,Manizales,Efectivo,Tienda,Vendedor_022,Completada
16,2024-06-20,Cliente_009,Webcam,Computadores,1,1607.78,0.06,1511.31,Medellin,Tarjeta_Credito,Tienda,Vendedor_013,Cancelada
17,2024-05-25,Cliente_005,Disco_SSD,Perifericos,3,954.45,0.0,2863.35,Barranquilla,Transferencia,Call_Center,Vendedor_048,Pendiente
18,2024-03-25,Cliente_009,Audifonos,Computadores,3,1004.03,0.2,2409.67,Bogota,Efectivo,App,Vendedor_013,Cancelada
19,2024-03-26,Cliente_007,Monitor,Almacenamiento,9,452.47,0.17,3379.95,Cali,Tarjeta_Debito,App,Vendedor_044,Completada
20,2024-02-25,Cliente_008,Tablet,Almacenamiento,10,1165.93,0.02,11426.11,Cartagena,Efectivo,Call_Center,Vendedor_013,Completada
21,2024-07-14,Cliente_001,Disco_SSD,Telefonia,2,325.89,0.1,586.6,Manizales,Transferencia,Tienda,Vendedor_009,Cancelada
22,2024-02-14,Cliente_006,Teclado,Impresion,6,743.58,0.14,3836.87,Bogota,Tarjeta_Credito,Tienda,Vendedor_013,Pendiente
23,2024-04-16,Cliente_004,Audifonos,Almacenamiento,5,693.22,0.15,2946.19,Bucaramanga,Transferencia,App,Vendedor_045,Pendiente
24,2024-06-29,Cliente_003,Celular,Computadores,7,1948.32,0.01,13501.86,Cartagena,Tarjeta_Credito,Web,Vendedor_045,Pendiente
25,2024-08-02,Cliente_007,Webcam,Almacenamiento,3,1024.58,0.01,3043.0,Barranquilla,Efectivo,Tienda,Vendedor_041,Pendiente
26,2024-01-04,Cliente_004,Teclado,Telefonia,2,121.84,0.14,209.56,Cali,Efectivo,Tienda,Vendedor_018,Completada
27,2024-10-14,Cliente_001,Celular,Impresion,4,581.8,0.2,1861.76,Bogota,Efectivo,Call_Center,Vendedor_009,Pendiente
28,2024-08-16,Cliente_004,Celular,Computadores,3,1650.17,0.15,4207.93,Manizales,Tarjeta_Debito,Web,Vendedor_031,Cancelada
29,2024-04-03,Cliente_010,Laptop,Computadores,9,1063.27,0.14,8229.71,Bucaramanga,Tarjeta_Debito,Web,Vendedor_030,Completada
30,2024-05-21,Cliente_003,Laptop,Impresion,5,589.1,0.01,2916.05,Bucaramanga,Transferencia,App,Vendedor_027,Completada
31,2024-02-21,Cliente_007,Monitor,Computadores,8,1970.33,0.17,13082.99,Manizales,Transferencia,Tienda,Vendedor_023,Pendiente
32,2024-06-14,Cliente_006,Disco_SSD,Telefonia,7,1781.37,0.05,11846.11,Bogota,Efectivo,Tienda,Vendedor_045,Pendiente
33,2024-02-14,Cliente_004,Webcam,Perifericos,9,1960.84,0.14,15176.9,Bucaramanga,Transferencia,Tienda,Vendedor_008,Cancelada
34,2024-01-17,Cliente_006,Laptop,Impresion,7,842.46,0.18,4835.72,Cali,Tarjeta_Credito,Tienda,Vendedor_047,Completada
35,2024-12-25,Cliente_004,Celular,Telefonia,8,1328.21,0.02,10413.17,Medellin,Tarjeta_Debito,Call_Center,Vendedor_015,Cancelada
36,2024-01-11,Cliente_007,Webcam,Perifericos,4,111.6,0.01,441.94,Manizales,Tarjeta_Debito,Call_Center,Vendedor_008,Pendiente
37,2024-11-13,Cliente_006,Tablet,Telefonia,10,1789.1,0.1,16101.9,Barranquilla,Efectivo,Tienda,Vendedor_024,Cancelada
38,2024-08-04,Cliente_008,Monitor,Impresion,2,644.28,0.09,1172.59,Manizales,Tarjeta_Credito,Web,Vendedor_036,Pendiente
39,2024-05-07,Cliente_010,Tablet,Computadores,4,1192.31,0.02,4673.86,Barranquilla,Tarjeta_Credito,Web,Vendedor_026,Pendiente
40,2024-06-01,Cliente_006,Celular,Telefonia,3,1851.87,0.1,5000.05,Bogota,Tarjeta_Debito,Web,Vendedor_042,Completada
41,2024-06-09,Cliente_010,Impresora,Almacenamiento,2,546.62,0.06,1027.65,Cartagena,Tarjeta_Credito,Web,Vendedor_030,Cancelada
42,2024-07-04,Cliente_008,Laptop,Almacenamiento,4,1574.53,0.09,5731.29,Bogota,Transferencia,Call_Center,Vendedor_022,Completada
43,2024-05-02,Cliente_009,Tablet,Computadores,8,1294.78,0.07,9633.16,Pereira,Tarjeta_Debito,App,Vendedor_012,Completada
44,2024-07-09,Cliente_010,Impresora,Impresion,10,408.95,0.15,3476.07,Bucaramanga,Tarjeta_Debito,Tienda,Vendedor_043,Completada
45,2024-08-19,Cliente_004,Disco_SSD,Computadores,5,1563.46,0.02,7660.95,Manizales,Tarjeta_Credito,App,Vendedor_010,Cancelada
46,2024-05-09,Cliente_004,Disco_SSD,Computadores,10,371.14,0.12,3266.03,Bucaramanga,Efectivo,Call_Center,Vendedor_050,Cancelada
47,2024-02-11,Cliente_009,Laptop,Telefonia,5,1934.85,0.06,9093.8,Barranquilla,Efectivo,Tienda,Vendedor_008,Pendiente
48,2024-12-27,Cliente_008,Audifonos,Almacenamiento,6,322.45,0.11,1721.88,Medellin,Tarjeta_Credito,Web,Vendedor_046,Completada
49,2024-07-16,Cliente_007,Impresora,Almacenamiento,9,1551.23,0.2,11168.86,Pereira,Tarjeta_Debito,App,Vendedor_040,Cancelada
50,2024-04-10,Cliente_003,Mouse,Impresion,8,1316.02,0.2,8422.53,Manizales,Tarjeta_Credito,Web,Vendedor_046,Pendiente
51,2024-02-01,Cliente_010,Disco_SSD,Telefonia,5,1979.48,0.08,9105.61,Cartagena,Efectivo,App,Vendedor_047,Completada
52,2024-12-11,Cliente_004,Monitor,Almacenamiento,1,184.51,0.02,180.82,Pereira,Tarjeta_Debito,Web,Vendedor_015,Cancelada
53,2024-02-05,Cliente_005,Audifonos,Impresion,9,659.65,0.16,4986.95,Medellin,Efectivo,App,Vendedor_041,Pendiente
54,2024-12-11,Cliente_007,Monitor,Perifericos,3,778.89,0.09,2126.37,Medellin,Transferencia,Tienda,Vendedor_023,Completada
55,2024-01-19,Cliente_008,Mouse,Impresion,7,1111.68,0.0,7781.76,Cartagena,Efectivo,Tienda,Vendedor_001,Pendiente
56,2024-12-20,Cliente_010,Mouse,Almacenamiento,2,774.35,0.09,1409.32,Bucaramanga,Tarjeta_Credito,Web,Vendedor_044,Completada
57,2024-12-11,Cliente_007,Audifonos,Computadores,9,1767.1,0.15,13518.31,Cali,Tarjeta_Debito,Call_Center,Vendedor_026,Pendiente
58,2024-04-01,Cliente_006,Impresora,Computadores,9,1130.12,0.08,9357.39,Barranquilla,Transferencia,Call_Center,Vendedor_038,Cancelada
59,2024-09-25,Cliente_007,Laptop,Impresion,3,1133.12,0.12,2991.44,Pereira,Transferencia,Tienda,Vendedor_050,Completada
60,2024-06-25,Cliente_006,Audifonos,Telefonia,6,1772.81,0.17,8828.59,Manizales,Efectivo,App,Vendedor_038,Pendiente
61,2024-05-12,Cliente_010,Tablet,Telefonia,9,998.82,0.04,8629.8,Barranquilla,Tarjeta_Credito,Call_Center,Vendedor_007,Completada
62,2024-02-07,Cliente_009,Audifonos,Impresion,2,1586.89,0.09,2888.14,Bucaramanga,Efectivo,Tienda,Vendedor_035,Completada
63,2024-06-01,Cliente_009,Webcam,Impresion,8,518.65,0.06,3900.25,Barranquilla,Tarjeta_Credito,Call_Center,Vendedor_002,Cancelada
64,2024-01-19,Cliente_005,Webcam,Perifericos,10,1502.77,0.04,14426.59,Manizales,Tarjeta_Debito,App,Vendedor_016,Cancelada
65,2024-02-08,Cliente_008,Laptop,Impresion,2,1262.87,0.19,2045.85,Bucaramanga,Tarjeta_Credito,Call_Center,Vendedor_003,Completada
66,2024-11-30,Cliente_007,Teclado,Computadores,10,739.9,0.0,7399.0,Medellin,Transferencia,App,Vendedor_007,Completada
67,2024-01-18,Cliente_006,Impresora,Impresion,5,1657.63,0.02,8122.39,Barranquilla,Tarjeta_Debito,App,Vendedor_037,Pendiente
68,2024-03-07,Cliente_008,Laptop,Perifericos,10,1388.88,0.1,12499.92,Bogota,Efectivo,App,Vendedor_032,Cancelada
69,2024-08-14,Cliente_005,Teclado,Impresion,9,83.33,0.03,727.47,Barranquilla,Transferencia,Call_Center,Vendedor_010,Completada
70,2024-09-23,Cliente_008,Webcam,Impresion,10,1864.51,0.06,17526.39,Bogota,Transferencia,Call_Center,Vendedor_033,Pendiente
71,2024-01-31,Cliente_001,Celular,Perifericos,4,1291.28,0.0,5165.12,Barranquilla,Tarjeta_Debito,Tienda,Vendedor_009,Pendiente
72,2024-04-18,Cliente_002,Tablet,Impresion,1,515.47,0.11,458.77,Medellin,Efectivo,Call_Center,Vendedor_028,Pendiente
73,2024-12-01,Cliente_008,Celular,Perifericos,4,877.77,0.07,3265.3,Cali,Tarjeta_Credito,Tienda,Vendedor_015,Completada
74,2024-08-19,Cliente_009,Webcam,Computadores,9,632.76,0.02,5580.94,Medellin,Transferencia,Call_Center,Vendedor_011,Completada
75,2024-01-10,Cliente_010,Impresora,Computadores,2,1857.31,0.2,2971.7,Medellin,Tarjeta_Debito,App,Vendedor_012,Cancelada
76,2024-01-19,Cliente_002,Disco_SSD,Computadores,5,1774.85,0.16,7454.37,Bogota,Tarjeta_Debito,Tienda,Vendedor_035,Completada
77,2024-08-31,Cliente_009,Teclado,Perifericos,10,1315.93,0.13,11448.59,Cartagena,Tarjeta_Credito,Tienda,Vendedor_027,Completada
78,2024-12-26,Cliente_010,Celular,Impresion,2,43.47,0.1,78.25,Bucaramanga,Transferencia,Call_Center,Vendedor_030,Pendiente
79,2024-03-19,Cliente_006,Mouse,Perifericos,5,44.06,0.11,196.07,Bucaramanga,Transferencia,App,Vendedor_043,Cancelada
80,2024-09-10,Cliente_008,Tablet,Computadores,4,527.22,0.02,2066.7,Medellin,Tarjeta_Debito,Tienda,Vendedor_022,Completada
81,2024-08-13,Cliente_007,Tablet,Almacenamiento,3,1163.97,0.13,3037.96,Medellin,Tarjeta_Credito,Web,Vendedor_045,Completada
82,2024-10-01,Cliente_002,Teclado,Impresion,2,395.91,0.07,736.39,Pereira,Transferencia,Call_Center,Vendedor_038,Completada
83,2024-09-11,Cliente_001,Impresora,Perifericos,10,1856.2,0.01,18376.38,Manizales,Tarjeta_Credito,App,Vendedor_047,Completada
84,2024-01-23,Cliente_008,Impresora,Telefonia,7,648.04,0.14,3901.2,Cartagena,Tarjeta_Credito,Web,Vendedor_025,Cancelada
85,2024-01-23,Cliente_006,Laptop,Perifericos,9,649.84,0.12,5146.73,Barranquilla,Tarjeta_Debito,Tienda,Vendedor_023,Cancelada
86,2024-04-24,Cliente_006,Disco_SSD,Computadores,4,1166.0,0.2,3731.2,Bogota,Tarjeta_Credito,App,Vendedor_010,Cancelada
87,2024-03-20,Cliente_005,Webcam,Computadores,10,589.59,0.11,5247.35,Medellin,Tarjeta_Debito,Tienda,Vendedor_013,Cancelada
88,2024-12-24,Cliente_003,Mouse,Impresion,6,1755.35,0.04,10110.82,Barranquilla,Tarjeta_Debito,Call_Center,Vendedor_049,Completada
89,2024-07-27,Cliente_007,Impresora,Almacenamiento,3,1531.53,0.07,4272.97,Bucaramanga,Tarjeta_Credito,App,Vendedor_009,Pendiente
90,2024-03-27,Cliente_003,Laptop,Telefonia,7,1351.37,0.01,9364.99,Cartagena,Tarjeta_Debito,App,Vendedor_041,Cancelada
91,2024-11-07,Cliente_007,Tablet,Perifericos,2,1519.89,0.14,2614.21,Bogota,Tarjeta_Credito,App,Vendedor_001,Pendiente
92,2024-08-28,Cliente_003,Audifonos,Almacenamiento,6,82.6,0.19,401.44,Cali,Tarjeta_Credito,Tienda,Vendedor_037,Pendiente
93,2024-11-22,Cliente_002,Mouse,Impresion,9,1833.36,0.08,15180.22,Cali,Tarjeta_Debito,Tienda,Vendedor_013,Pendiente
94,2024-08-31,Cliente_001,Mouse,Impresion,3,1256.56,0.14,3241.92,Bucaramanga,Tarjeta_Debito,App,Vendedor_036,Cancelada
95,2024-01-25,Cliente_003,Webcam,Telefonia,3,25.31,0.07,70.61,Bogota,Efectivo,Call_Center,Vendedor_017,Completada
96,2024-10-23,Cliente_006,Impresora,Almacenamiento,10,1178.24,0.07,10957.63,Cartagena,Tarjeta_Credito,Call_Center,Vendedor_022,Cancelada
